"","topic","term","beta"
"111",3,"ago",0.00184390698085762
"112",4,"ago",0.000110046331965599
"113",5,"ago",0.00073461261742906
"114",6,"ago",0.00182941804102565
"115",1,"ahead",6.0922810971208e-05
"116",2,"ahead",0.00035435092521518
"117",3,"ahead",0.000387426439619154
"118",4,"ahead",4.0905792226918e-05
"119",5,"ahead",0.00262025893876257
"120",6,"ahead",5.12711848078244e-05
"121",1,"air",0.00073595331238242
"122",2,"air",0.00171245939210871
"123",3,"air",0.000759838889042905
"124",4,"air",3.00035905667511e-08
"125",5,"air",0.000372722487227937
"126",6,"air",0.000108216560018329
"127",1,"alleged",0.00158626900790299
"128",2,"alleged",2.48809674571459e-07
"129",3,"alleged",5.23162647332191e-08
"130",4,"alleged",0.000419583834985538
"131",5,"alleged",0.000633962596101295
"132",6,"alleged",0.00112289496344096
"133",1,"allegedly",0.0045901868741779
"134",2,"allegedly",9.41196879347807e-07
"135",3,"allegedly",1.21740181594948e-06
"136",4,"allegedly",4.13045078872151e-08
"137",5,"allegedly",0.000238437882901107
"138",6,"allegedly",0.000191189095830691
"139",1,"allow",5.37416503133305e-06
"140",2,"allow",0.00110677730900419
"141",3,"allow",0.000169739379524146
"142",4,"allow",0.0026133574396141
"143",5,"allow",0.000120704537420321
"144",6,"allow",0.000517972892655898
"145",1,"allowed",0.0003263459809969
"146",2,"allowed",0.000537369122948192
"147",3,"allowed",0.000326502428425692
"148",4,"allowed",0.00169282347213485
"149",5,"allowed",0.000173823315685917
"150",6,"allowed",0.00128954387680376
"151",1,"almost",6.87977348569484e-06
"152",2,"almost",0.000854040164499093
"153",3,"almost",0.00215037190567135
"154",4,"almost",0.00114467913852107
"155",5,"almost",0.000618814627388797
"156",6,"almost",2.34382238515959e-05
"157",1,"alone",0.000368339179682887
"158",2,"alone",0.00055074190777243
"159",3,"alone",0.000936519473730516
"160",4,"alone",1.68862273596142e-05
"161",5,"alone",2.43308221326772e-05
"162",6,"alone",0.000318356778604576
"163",1,"along",0.00094443877113461
"164",2,"along",0.00200783583866258
"165",3,"along",0.00161882137208629
"166",4,"along",0.000136958458192638
"167",5,"along",0.000383617568887039
"168",6,"along",0.000521237527541279
"169",1,"already",1.45305474781214e-05
"170",2,"already",0.00233423726875138
"171",3,"already",0.00158468219783832
"172",4,"already",0.0036771103783185
"173",5,"already",0.00102668435652272
"174",6,"already",0.000441198433088548
"175",1,"also",0.00653196721954106
"176",2,"also",0.00606572260084282
"177",3,"also",0.00640329539601137
"178",4,"also",0.00656469382954957
"179",5,"also",0.00719498528836599
"180",6,"also",0.0104273962421225
"181",1,"although",0.000515090362974094
"182",2,"although",0.00106307555379142
"183",3,"although",0.000594222941807123
"184",4,"although",0.00100995559187497
"185",5,"although",0.000153651186253338
"186",6,"although",0.000258290758615965
"187",1,"always",1.25574143914271e-05
"188",2,"always",0.000285219301389898
"189",3,"always",0.00398744242539258
"190",4,"always",1.96135948336217e-05
"191",5,"always",0.000212202942536008
"192",6,"always",0.000142572111251649
"193",1,"amendment",0
"194",2,"amendment",0
"195",3,"amendment",0
"196",4,"amendment",0.00883044857373258
"197",5,"amendment",0
"198",6,"amendment",0
"199",1,"america",1.60308509399675e-12
"200",2,"america",0.00492888322681774
"201",3,"america",0.00208431026208375
"202",4,"america",0.000577132838330344
"203",5,"america",0.00106659806848393
"204",6,"america",0.000113753334064173
"205",1,"american",1.88002303775925e-09
"206",2,"american",0.013979355616573
"207",3,"american",0.000947115652163928
"208",4,"american",0.00213535569471528
"209",5,"american",0.00112167499036343
"210",6,"american",0.000853424377046646
"211",1,"americans",7.92074101608644e-17
"212",2,"americans",0.00608406968753217
"213",3,"americans",1.47591143871332e-06
"214",4,"americans",0.00277465160481232
"215",5,"americans",0.000275227808899231
"216",6,"americans",9.42640895292574e-05
"217",1,"among",0.000132437999048516
"218",2,"among",0.0037032200450304
"219",3,"among",0.00109770989741723
"220",4,"among",0.00140752037440876
"221",5,"among",0.00130779689854621
"222",6,"among",0.00138384365593936
"223",1,"angeles",0.00269366812534749
"224",2,"angeles",2.01042317416015e-06
"225",3,"angeles",0.000891526561688453
"226",4,"angeles",4.58306701854024e-07
"227",5,"angeles",0.000331163372563364
"228",6,"angeles",4.4481520083939e-05
"229",1,"announced",0.00049653711865312
"230",2,"announced",0.00123501324703996
"231",3,"announced",0.000160586448091134
"232",4,"announced",0.000866768552967611
"233",5,"announced",0.00158432571546471
"234",6,"announced",0.00145495355147328
"235",1,"another",0.00460737472972116
"236",2,"another",0.00206903143089866
"237",3,"another",0.00418873289245926
"238",4,"another",0.00180008568121361
"239",5,"another",0.00220853257244426
"240",6,"another",0.00173341824384728
"241",1,"anyone",0.000695613096274507
"242",2,"anyone",7.07732527521779e-05
"243",3,"anyone",0.00127874318496577
"244",4,"anyone",0.00198129582521877
"245",5,"anyone",0.000235463606070629
"246",6,"anyone",0.000628831759734236
"247",1,"anything",0.000532207389912873
"248",2,"anything",0.000574978243150659
"249",3,"anything",0.00244589338835897
"250",4,"anything",0.000444860670159755
"251",5,"anything",9.23089460098565e-05
"252",6,"anything",0.000177257904846239
"253",1,"appear",0.00074159247296665
"254",2,"appear",0.000180013178566594
"255",3,"appear",0.000375132781712511
"256",4,"appear",0.000280216213658106
"257",5,"appear",0.000541164924929188
"258",6,"appear",0.000761459823915194
"259",1,"appeared",0.00143521231692514
"260",2,"appeared",0.000153278314931875
"261",3,"appeared",0.000523170319880013
"262",4,"appeared",0.000228363067606363
"263",5,"appeared",0.000495175637501744
"264",6,"appeared",0.00160130992296961
"265",1,"appears",0.000917512518737089
"266",2,"appears",0.000991555960832356
"267",3,"appears",0.000273794319247305
"268",4,"appears",0.000311849221729731
"269",5,"appears",0.000615853574757677
"270",6,"appears",2.55958712588965e-05
"271",1,"approach",6.28959731670393e-05
"272",2,"approach",0.00163033434113247
"273",3,"approach",0.000505019569721845
"274",4,"approach",0.00044942351976707
"275",5,"approach",0.000106872586357426
"276",6,"approach",2.42098381344717e-05
"277",1,"april",0.00109851776668173
"278",2,"april",0.000524118436811898
"279",3,"april",0.000163074056722454
"280",4,"april",0.00023380814100505
"281",5,"april",0.00110724785647812
"282",6,"april",0.00222141569395161
"283",1,"area",0.00355887071000907
"284",2,"area",0.000474430722258316
"285",3,"area",0.000537626254887864
"286",4,"area",2.05647883432874e-05
"287",5,"area",0.000344059842914742
"288",6,"area",0.000464349849832975
"289",1,"armed",0.00316613784374693
"290",2,"armed",0.00050009464357401
"291",3,"armed",1.36116215251789e-05
"292",4,"armed",0.0012139908760957
"293",5,"armed",5.57496264326769e-14
"294",6,"armed",2.06151453475002e-05
"295",1,"around",0.00302176315834248
"296",2,"around",0.00144580735068002
"297",3,"around",0.00456476763375493
"298",4,"around",0.000107820866443321
"299",5,"around",0.000270820459122099
"300",6,"around",0.00222355783081703
"301",1,"arrest",0.00361095776706869
"302",2,"arrest",0.000122728678267057
"303",3,"arrest",1.44984740753966e-06
"304",4,"arrest",0.000150711937095304
"305",5,"arrest",1.15273719832142e-05
"306",6,"arrest",1.10139690226951e-05
"307",1,"arrested",0.00626412617601706
"308",2,"arrested",2.51773425355006e-05
"309",3,"arrested",4.72592685185161e-08
"310",4,"arrested",0.000122624702661813
"311",5,"arrested",0.00020036654786539
"312",6,"arrested",4.15474635723934e-07
"313",1,"arrived",0.00225854408055206
"314",2,"arrived",0.000599071058125227
"315",3,"arrived",0.000319003656219999
"316",4,"arrived",5.9414000979585e-10
"317",5,"arrived",1.26620728428833e-06
"318",6,"arrived",7.0811512485003e-05
"319",1,"ask",2.95117245535555e-05
"320",2,"ask",4.17380220514534e-05
"321",3,"ask",0.00137852749924359
"322",4,"ask",0.00105151543059121
"323",5,"ask",0.000276120061929873
"324",6,"ask",6.96984179857816e-05
"325",1,"asked",0.00121602992368587
"326",2,"asked",0.000683332146577164
"327",3,"asked",0.00275712294932085
"328",4,"asked",0.000539231282771898
"329",5,"asked",0.00127756483092613
"330",6,"asked",0.00313796622951945
"331",1,"asking",0.00032995543413698
"332",2,"asking",2.45351326927385e-05
"333",3,"asking",0.000582359296465296
"334",4,"asking",0.000467384046718469
"335",5,"asking",0.000387480724291205
"336",6,"asking",0.000924180458513896
"337",1,"assault",0.00154346380344237
"338",2,"assault",1.01411897384403e-06
"339",3,"assault",1.58458655986029e-05
"340",4,"assault",0.00253670283683113
"341",5,"assault",0.00024799601283358
"342",6,"assault",0.000162356797751316
"343",1,"associated",0.00237970945223952
"344",2,"associated",2.14039972787067e-05
"345",3,"associated",1.72762006772935e-06
"346",4,"associated",0.000381668871487597
"347",5,"associated",0.000529015822173629
"348",6,"associated",0.00243385238478887
"349",1,"association",4.24326108798167e-08
"350",2,"association",0.000320930705846432
"351",3,"association",2.4653014185675e-07
"352",4,"association",0.00302276061076068
"353",5,"association",0.000637062856133742
"354",6,"association",0.00105872049807785
"355",1,"attack",0.00116143844918965
"356",2,"attack",0.000333371787512436
"357",3,"attack",6.65447865844278e-07
"358",4,"attack",6.60977686245567e-07
"359",5,"attack",0.000457656818198361
"360",6,"attack",0.00896567317743854
"361",1,"attacks",5.42334912998504e-08
"362",2,"attacks",0.000921899653654972
"363",3,"attacks",1.37645657211953e-10
"364",4,"attacks",2.90438168493315e-07
"365",5,"attacks",0.000457949946149988
"366",6,"attacks",0.00436704537148655
"367",1,"attempt",0.000459996219620602
"368",2,"attempt",0.00033939063141053
"369",3,"attempt",0.000305872155493889
"370",4,"attempt",0.000420492836933356
"371",5,"attempt",0.000324340661063028
"372",6,"attempt",0.000980859758488603
"373",1,"attention",0.00022346335570344
"374",2,"attention",0.000365443935613143
"375",3,"attention",0.00076411662398355
"376",4,"attention",0.000616171961554552
"377",5,"attention",0.000887663630751425
"378",6,"attention",0.0010029435862203
"379",1,"attorney",0.0042433875029236
"380",2,"attorney",3.56613928093355e-09
"381",3,"attorney",9.63644252796402e-13
"382",4,"attorney",0.00353992513221736
"383",5,"attorney",0.00332900166466358
"384",6,"attorney",5.2569333751716e-09
"385",1,"authorities",0.0097947869735969
"386",2,"authorities",5.47697934856447e-05
"387",3,"authorities",4.99018180957932e-13
"388",4,"authorities",3.50365502627571e-06
"389",5,"authorities",9.4730768770539e-07
"390",6,"authorities",2.69397511788506e-05
"391",1,"available",0.000650272516983316
"392",2,"available",2.11829296407053e-05
"393",3,"available",0.000476838335221435
"394",4,"available",0.00183252467436668
"395",5,"available",0.000356504204436408
"396",6,"available",1.95150431370407e-05
"397",1,"away",0.00285131015164098
"398",2,"away",0.00131518034011748
"399",3,"away",0.00343362375943934
"400",4,"away",0.000909645460614756
"401",5,"away",0.000211562733898696
"402",6,"away",4.04771890435646e-05
"403",1,"back",0.00382641678523474
"404",2,"back",0.00294527688928443
"405",3,"back",0.00715645614607899
"406",4,"back",0.00032732128718357
"407",5,"back",0.00247562332898565
"408",6,"back",0.000173118277021049
"409",1,"bad",2.06291743379437e-06
"410",2,"bad",0.00030351643735029
"411",3,"bad",0.00234889987704152
"412",4,"bad",6.43752434530565e-05
"413",5,"bad",0.000472460092422981
"414",6,"bad",0.000146501030547855
"415",1,"based",0.00014013432545221
"416",2,"based",0.000743833116009462
"417",3,"based",0.000689456938436145
"418",4,"based",0.00193119531572569
"419",5,"based",5.94888096330569e-05
"420",6,"based",0.00139781350555853
"421",1,"battle",0.000217394787519313
"422",2,"battle",0.000976780188215726
"423",3,"battle",0.000398784857773069
"424",4,"battle",0.000779540659417659
"425",5,"battle",0.00076963553632028
"426",6,"battle",0.000109281045392561
"427",1,"became",0.000294563533083561
"428",2,"became",0.000649241535195324
"429",3,"became",0.00179473672781785
"430",4,"became",0.00023275616924678
"431",5,"became",0.000526717467024682
"432",6,"became",0.000918920080681956
"433",1,"become",7.28937461556825e-07
"434",2,"become",0.00253066656443111
"435",3,"become",0.00187356125529878
"436",4,"become",0.00119246223159798
"437",5,"become",0.000927649229599607
"438",6,"become",0.000646363684338223
"439",1,"began",0.00267297176580108
"440",2,"began",0.000917760103205514
"441",3,"began",0.00157606243289663
"442",4,"began",3.84634111572176e-05
"443",5,"began",0.000240734072836789
"444",6,"began",0.00155652223957846
"445",1,"behind",0.00154387000115666
"446",2,"behind",0.00055263676477938
"447",3,"behind",0.00172863030884641
"448",4,"behind",5.11344047522773e-05
"449",5,"behind",0.00126188870772951
"450",6,"behind",0.000449016015250316
"451",1,"believe",0.00154843346546521
"452",2,"believe",0.00131785149521502
"453",3,"believe",0.0016589036189382
"454",4,"believe",0.00112453435827175
"455",5,"believe",0.00132150293230273
"456",6,"believe",0.00102866551862113
"457",1,"believed",0.00177442842511586
"458",2,"believed",0.000732313143315406
"459",3,"believed",0.000239030346773718
"460",4,"believed",0.000145107168557735
"461",5,"believed",0.000123771153238926
"462",6,"believed",0.000246948737235628
"463",1,"best",1.03992497501615e-08
"464",2,"best",2.67256966073e-05
"465",3,"best",0.00396225531096579
"466",4,"best",0.000342855384245395
"467",5,"best",0.000523805213951487
"468",6,"best",0.000669303486962787
"469",1,"better",2.42321251881105e-09
"470",2,"better",0.00125113729849362
"471",3,"better",0.00272785376358029
"472",4,"better",0.000354363694100601
"473",5,"better",0.000692139867396212
"474",6,"better",0.000170182119213433
"475",1,"beyond",2.39025585426982e-06
"476",2,"beyond",0.000524401301355147
"477",3,"beyond",0.000859732226496959
"478",4,"beyond",0.000583155873237018
"479",5,"beyond",0.000244569358814759
"480",6,"beyond",0.000100780713579027
"481",1,"big",1.08443061151737e-06
"482",2,"big",0.00188288330223579
"483",3,"big",0.00323744187346202
"484",4,"big",4.3620821292707e-06
"485",5,"big",0.00127393489403863
"486",6,"big",8.89838169149268e-05
"487",1,"biggest",2.49560295179667e-09
"488",2,"biggest",0.000663716232611081
"489",3,"biggest",0.000688703431227109
"490",4,"biggest",5.35100803319734e-06
"491",5,"biggest",0.000809264950585863
"492",6,"biggest",0.000121073554530088
"493",1,"bill",1.00975317411839e-08
"494",2,"bill",0.000747774807923181
"495",3,"bill",0.000157223118227973
"496",4,"bill",0.00348465459284853
"497",5,"bill",0.00419973954233358
"498",6,"bill",0.000399167039027035
"499",1,"bit",1.85556947807758e-05
"500",2,"bit",5.19665709273109e-05
"501",3,"bit",0.00131021801849213
"502",4,"bit",3.06150643204973e-07
"503",5,"bit",0.00012511766792849
"504",6,"bit",8.65811389363321e-06
"505",1,"black",0.00302410070564726
"506",2,"black",2.24802801430823e-05
"507",3,"black",0.00539595030105375
"508",4,"black",1.23978151486954e-07
"509",5,"black",8.91420907319224e-06
"510",6,"black",0.000381869200038593
"511",1,"body",0.00334630632537752
"512",2,"body",1.12584221125518e-05
"513",3,"body",0.000861722285021177
"514",4,"body",0.000243126694849959
"515",5,"body",6.90513490392716e-08
"516",6,"body",5.12456927504744e-08
"517",1,"book",2.3066582774737e-15
"518",2,"book",0.000149439828389762
"519",3,"book",0.0022995852270655
"520",4,"book",9.93378095213115e-07
"521",5,"book",7.32823836205441e-05
"522",6,"book",9.2111146728783e-06
"523",1,"border",1.56750021033244e-11
"524",2,"border",0.00900844006833004
"525",3,"border",1.0003874348353e-11
"526",4,"border",8.3976391781312e-14
"527",5,"border",0.000146743362247069
"528",6,"border",2.28522159323619e-12
"529",1,"break",0.000275493962356389
"530",2,"break",0.000305196294137182
"531",3,"break",0.000924219160895246
"532",4,"break",0.000227669061717865
"533",5,"break",0.000243736954784578
"534",6,"break",9.28574100579759e-07
"535",1,"bring",0.000117993157192949
"536",2,"bring",0.00133868973009059
"537",3,"bring",0.00100274445520698
"538",4,"bring",0.000201559086580976
"539",5,"bring",0.000111579521814082
"540",6,"bring",0.000251930522010389
"541",1,"brought",0.000546184888665618
"542",2,"brought",0.000425673968605515
"543",3,"brought",0.0011199943593283
"544",4,"brought",0.000612253095933332
"545",5,"brought",0.000256495703247338
"546",6,"brought",0.00062167101116293
"547",1,"building",0.00165015387488096
"548",2,"building",0.00106129986594428
"549",3,"building",0.000157542187999422
"550",4,"building",3.23767899770302e-07
"551",5,"building",0.000110675718556067
"552",6,"building",0.00340413858150302
"553",1,"business",0.000123536106214125
"554",2,"business",0.0018685852963734
"555",3,"business",0.000883833034465162
"556",4,"business",0.000259525606368157
"557",5,"business",0.00136154349462231
"558",6,"business",0.00232927384520479
"559",1,"california",0.00155814025094922
"560",2,"california",0.000162438398330346
"561",3,"california",0.000356883187662907
"562",4,"california",0.00449529284445548
"563",5,"california",0.00169902613047257
"564",6,"california",0.000171414412418552
"565",1,"call",0.00274603904415104
"566",2,"call",0.000671370880721482
"567",3,"call",0.00189056622034596
"568",4,"call",5.99384630836399e-05
"569",5,"call",0.000545127033595623
"570",6,"call",0.00241230608708426
"571",1,"called",0.00307047862533874
"572",2,"called",0.00160723411584186
"573",3,"called",0.00261864218415792
"574",4,"called",0.00081106073635505
"575",5,"called",0.00167663511213611
"576",6,"called",0.00711586234635046
"577",1,"calling",0.000407477580917018
"578",2,"calling",0.000677039098583976
"579",3,"calling",0.000494333084459467
"580",4,"calling",0.000325000107631819
"581",5,"calling",0.00101504118434601
"582",6,"calling",0.00144586669951068
"583",1,"calls",0.000878321397245003
"584",2,"calls",0.000324585086454082
"585",3,"calls",0.000571319240231337
"586",4,"calls",7.79172164334747e-05
"587",5,"calls",0.000826994472302231
"588",6,"calls",0.00173654695703927
"589",1,"came",0.000972578123792194
"590",2,"came",0.00123954016189637
"591",3,"came",0.00299072339873693
"592",4,"came",0.000801599764439924
"593",5,"came",0.000805057976486774
"594",6,"came",0.00147134224143203
"595",1,"campaign",2.20751892400463e-11
"596",2,"campaign",0.000123326281683974
"597",3,"campaign",3.68106953636692e-08
"598",4,"campaign",0.000643626799271608
"599",5,"campaign",0.01445941815988
"600",6,"campaign",7.0981913301006e-05
"601",1,"can",0.000747249218391821
"602",2,"can",0.00391713867291945
"603",3,"can",0.0125675329724905
"604",4,"can",0.00995879650547891
"605",5,"can",0.001096554149758
"606",6,"can",0.00164179813827995
"607",1,"candidate",1.82817198197289e-13
"608",2,"candidate",7.29046010379487e-11
"609",3,"candidate",3.89277116017437e-09
"610",4,"candidate",1.23713385753921e-06
"611",5,"candidate",0.00613933764705009
"612",6,"candidate",5.01000044604593e-09
"613",1,"candidates",1.82593804909425e-31
"614",2,"candidates",4.52869262947244e-10
"615",3,"candidates",1.16616980787611e-06
"616",4,"candidates",1.5382488575759e-08
"617",5,"candidates",0.00577252876310681
"618",6,"candidates",1.13462143741146e-13
"619",1,"capital",7.22309970371208e-06
"620",2,"capital",0.000198709269693553
"621",3,"capital",1.28958450066612e-11
"622",4,"capital",6.51973573829558e-14
"623",5,"capital",4.98954781786011e-08
"624",6,"capital",0.0105020236014021
"625",1,"car",0.00780514562124143
"626",2,"car",0.000135494046747967
"627",3,"car",0.000432045664432492
"628",4,"car",9.71619643113568e-12
"629",5,"car",7.73584836670238e-13
"630",6,"car",6.89958624708961e-11
"631",1,"care",2.22294409710568e-05
"632",2,"care",0.00135784763301115
"633",3,"care",0.00131594301912463
"634",4,"care",0.00194582844982188
"635",5,"care",0.00191201119248128
"636",6,"care",0.000942216589891319
"637",1,"case",0.00354389234468654
"638",2,"case",0.000623003082116576
"639",3,"case",0.000738278586775995
"640",4,"case",0.0160726686296721
"641",5,"case",0.000130679951020916
"642",6,"case",0.000139246077042668
"643",1,"cases",0.000438653510260173
"644",2,"cases",0.000593950212444723
"645",3,"cases",1.67398139001339e-05
"646",4,"cases",0.00717377685538391
"647",5,"cases",1.59321307170203e-09
"648",6,"cases",5.59892177257122e-06
"649",1,"cause",0.000432712486685203
"650",2,"cause",0.000792258486426531
"651",3,"cause",0.000386709592369221
"652",4,"cause",0.00115933125690991
"653",5,"cause",2.71702966408975e-05
"654",6,"cause",0.000437720230225149
"655",1,"center",0.00119825148863899
"656",2,"center",0.00145296135013922
"657",3,"center",0.000808647033981276
"658",4,"center",0.00151949630486365
"659",5,"center",0.000336799329977686
"660",6,"center",0.00227728162343085
"661",1,"central",0.000224042814569405
"662",2,"central",0.00225662083667429
"663",3,"central",0.000327989466532195
"664",4,"central",1.96433286077253e-06
"665",5,"central",0.000428556752476163
"666",6,"central",0.000108181027859977
"667",1,"certain",1.02958077702192e-12
"668",2,"certain",0.000869029975526756
"669",3,"certain",0.000761631752781392
"670",4,"certain",0.00149702023364951
"671",5,"certain",0.000135299928285494
"672",6,"certain",7.31140524517924e-05
"673",1,"chance",2.17931889066139e-17
"674",2,"chance",0.000209827093645197
"675",3,"chance",0.000896154072662035
"676",4,"chance",0.000217649831600989
"677",5,"chance",0.000787615490722945
"678",6,"chance",2.1132205686419e-06
"679",1,"change",1.75485280046949e-08
"680",2,"change",0.00216055872760328
"681",3,"change",0.001194139113231
"682",4,"change",0.00242118618827933
"683",5,"change",0.00102349634632317
"684",6,"change",0.0010052128088917
"685",1,"changed",4.86101210415625e-09
"686",2,"changed",0.000408040661345472
"687",3,"changed",0.00100872032930066
"688",4,"changed",0.00036897261447667
"689",5,"changed",0.000110922050993821
"690",6,"changed",0.000144611462032413
"691",1,"charge",0.00168502147463357
"692",2,"charge",0.000156145172998536
"693",3,"charge",0.000279630551241965
"694",4,"charge",0.000898918713040391
"695",5,"charge",0.000274773985916515
"696",6,"charge",5.13036399817192e-05
"697",1,"charged",0.00580246768312649
"698",2,"charged",5.19817896482548e-05
"699",3,"charged",9.56493957115312e-08
"700",4,"charged",4.53509594017337e-05
"701",5,"charged",0.000376574668274508
"702",6,"charged",0.000411206493680892
"703",1,"charges",0.00615090099713523
"704",2,"charges",4.6846885656411e-07
"705",3,"charges",2.92787405997781e-07
"706",4,"charges",0.000675254436116901
"707",5,"charges",0.000808654754665906
"708",6,"charges",2.73534692938134e-08
"709",1,"check",0.000573629986072272
"710",2,"check",1.35974205642268e-05
"711",3,"check",0.000370710676096988
"712",4,"check",0.0014467413895607
"713",5,"check",0.000482480691767327
"714",6,"check",0.000198002729952022
"715",1,"chief",0.00410620121455964
"716",2,"chief",0.00164908299916682
"717",3,"chief",6.07514771394372e-06
"718",4,"chief",0.00204518037221735
"719",5,"chief",0.00104158600667788
"720",6,"chief",0.0013970850057502
"721",1,"child",0.00157074216442696
"722",2,"child",0.000797393678940168
"723",3,"child",0.00179724400298031
"724",4,"child",2.1448333503185e-07
"725",5,"child",9.0899670806579e-07
"726",6,"child",6.96186914179836e-05
"727",1,"children",0.00360486365580085
"728",2,"children",0.00863861337335245
"729",3,"children",0.00152919872356441
"730",4,"children",1.02593247119928e-06
"731",5,"children",4.6408436719023e-06
"732",6,"children",0.000206045528165999
"733",1,"citizens",2.07091361217405e-05
"734",2,"citizens",0.00138117692823552
"735",3,"citizens",1.88025247820597e-10
"736",4,"citizens",0.00290657204845466
"737",5,"citizens",8.44240682523913e-06
"738",6,"citizens",7.40870865901609e-05
"739",1,"city",0.00732667438753465
"740",2,"city",0.0010037159121981
"741",3,"city",0.0014993854473874
"742",4,"city",8.4416869439167e-06
"743",5,"city",0.000937348727000066
"744",6,"city",0.00510456865517831
"745",1,"civil",0.000133861794066218
"746",2,"civil",0.00310776742042716
"747",3,"civil",1.17516159760321e-06
"748",4,"civil",0.00379255129438817
"749",5,"civil",5.64662002905977e-08
"750",6,"civil",0.000104879930997738
"751",1,"claim",1.51724283116613e-05
"752",2,"claim",0.000649357551948306
"753",3,"claim",8.89563883678115e-05
"754",4,"claim",0.00181306779717555
"755",5,"claim",0.000411265296124416
"756",6,"claim",0.00119076091033612
"757",1,"claimed",0.000705561310355038
"758",2,"claimed",0.000281509741718576
"759",3,"claimed",4.14155147580625e-05
"760",4,"claimed",0.000234081532652682
"761",5,"claimed",0.000475053684750137
"762",6,"claimed",0.00239223419386821
"763",1,"claims",4.51673643783618e-05
"764",2,"claims",0.000618906634825224
"765",3,"claims",5.32910569411651e-05
"766",4,"claims",0.00157206845627402
"767",5,"claims",0.00057182434897261
