Date,Location,zip code,"Median household income of zip code
https://www.incomebyzipcode.com/","Majority race in zip code (list any over 10%
https://www.unitedstateszipcodes.org/77018/","If county voted for Trump in the last election
https://uselectionatlas.org/RESULTS/",Dead,Injured,Total,Children killed/injured? Binary,Murder/suicide? Binary,Description
12-Oct-18,"Spartanburg, South Carolina",29301,"$41,867 ",White,Yes,0,6,6,No,No,Six people were injured in a shooting at a fast food restaurant. One suspect was arrested and another turned himself in to police. A third person is also suspected of being involved.
12-Oct-18,"Las Vegas, Nevada",89109,"$46,875 ",White,No,0,4,4,No,No,Four people were wounded after being shot in central Las Vegas.
8-Oct-18,"Birmingham, Alabama",35206,"$32,537 ",Black,No,0,4,4,No,No,Four people were injured when a person in a vehicle fired shots at them at an apartment complex.
6-Oct-18,"Tulsa, Oklahoma",74145,"$47,120 ",White,Yes,0,4,4,No,No,"A man fired into a crowd outside a bar during a fight, injuring four people. Another person fired a gun into the air to try to stop the fight, but did not injure anyone."
6-Oct-18,"Houston, Texas",77054,"$48,681 ",Black,No,1,3,4,No,No,"People began firing from a vehicle at people in a gas station parking lot, killing one person in a vehicle and wounding three others. The shooting is suspected to be gang-related."
6-Oct-18,"Oakland, California",66102,"$32,514 ",White,No,0,6,6,No,No,"Two men began shooting during a dispute, injuring six people in total including each other. Both men were arrested."
4-Oct-18,"Española, New Mexico",87566,"$33,203 ",American Indian,No,1,3,4,No,No,"Several people began firing at teenagers in a car, killing one and wounding three. Police believe they were targeting people with whom they had been in a dispute on social media, and that the teenagers were mistakenly targeted. Seven suspects were arrested on various charges related to the shooting, including three people charged withfirst-degree murder."
4-Oct-18,"Swainsboro, Georgia",30401,"$33,677 ",White,Yes,0,4,4,Yes,No,Four people were wounded when they were injured in a gang-related shooting.
3-Oct-18,"Florence, South Carolina",29501,"$48,833 ",White,Yes,2,6,8,No,No,"Florence, South Carolina shooting: Officers were shot at during a two-hour standoff while attempting to execute a search warrant in which the perpetrator held children hostage, killing two and wounding six before being arrested."
3-Oct-18,"Philadelphia, Pennsylvania",20874,"$86,718 ",White,No,1,4,5,No,No,One person was killed and four others were injured in a drive-by shooting outside of a store.
1-Oct-18,"Chicago, Illinois",60632,"$42,335 ",White,No,2,2,4,No,No,"A man began firing a gun inside a vehicle, killing two passengers and wounding another passenger and the driver. He was arrested."
